timestamp,Soil_Moisture,Ambient_Temperature,Humidity,Light_Intensity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Plant_Health_Status
2025-12-02 20:16:46,10.0,21.0,11,956.38,20,15,18,High Stress
2025-12-02 20:16:57,10.0,21.0,11,987.28,20,15,18,High Stress
2025-12-02 20:17:07,10.0,21.0,11,987.54,20,15,18,High Stress
2025-12-02 20:17:18,10.0,21.0,11,987.02,20,15,18,High Stress
2025-12-02 20:17:28,10.0,21.0,11,987.54,20,15,18,High Stress
2025-12-02 20:17:39,10.0,21.0,11,987.92,20,15,18,High Stress
2025-12-02 20:17:49,10.0,21.0,11,987.54,20,15,18,High Stress
2025-12-02 20:17:59,10.0,21.0,11,987.15,20,15,18,High Stress
2025-12-02 20:18:10,10.0,21.0,11,984.95,20,15,18,High Stress
2025-12-02 20:18:20,10.0,21.0,11,982.51,20,15,18,High Stress
